50 10
12 3
15 8
16 9
16 6
10 2
21 9
18 4
12 4
17 8
18 9

50 10
13 8
19 10
16 8
12 9
10 2
12 8
13 5
15 5
11 7
16 2

50 3
50 15
50 60
49 59

79 5
28 12
76 25
50 13
22 18
23 16

500 30
5 5
6 6
7 7
8 8
9 9
10 10
11 11
12 12
13 13
14 14
15 15
16 16
17 17
18 18
19 19
20 20
21 21
22 22
23 23
24 24
25 25
12 18
13 19
14 29
15 22
20 28
21 28
22 23
24 25
25 50

7 2
6 1
5 1

40 5 
12 10 
16 10 
20 10 
24 10 
8 3

20 1
25 6

37 59
20 5
7 2
13 8
8 0
9 9
19 4
9 5
16 6
17 1
19 0
12 10
13 0
7 9
6 7
15 0
20 10
18 6
11 10
8 2
22 3
16 7
15 6
17 4
20 1
10 3
24 9
23 6
23 6
11 4
17 0
5 1
24 3
24 8
12 2
22 2
12 7
12 1
10 8
13 4
9 2
10 5
20 9
23 0
22 3
17 1
12 8
15 7
12 4
17 4
22 7
19 8
5 2
25 6
22 9
11 6
20 2
8 9
7 0
8 1

10 3
5 3
5 2
6 5

5 2
2 0
3 0

10 2
9 15
8 15

50 2
50 5
50 6

0 0
